M,R
3168131584,2.17261
3986689280,2.16186
4927258624,2.12606
6171797504,2.21658
7696742912,2.20554
10790661120,2.27374
14139535360,2.34345
18032809984,2.45768
21592088576,2.57687
25507088384,2.68598
30817701888,2.83281
37570568192,3.00526
43587055616,3.22501
50115338240,3.40067
57879330816,3.64927
65064820736,3.87022
72813527040,4.10448
81118691328,4.35284
89966043136,4.5893
99777028096,4.86692
1.11661E+11,5.13148
1.25517E+11,5.57067
1.39201E+11,5.97699
1.60764E+11,6.45145
1.76694E+11,6.88151
2.10582E+11,7.7836
2.55521E+11,9.01242
3.21429E+11,10.4367
4.15326E+11,13.3475
4.92769E+11,14.9218
