M,R
3189265920,0.844383
3734126592,0.839974
4512174080,0.835689
5354873344,0.836233
6412231168,0.85158
7609787904,0.852135
9030404096,0.877928
10715940864,0.915118
12773682176,0.948351
15433590784,0.988592
17744699392,1.05467
20311234560,1.0992
23670573056,1.17273
28086859776,1.25859
33027676160,1.3586
39013552128,1.45804
45259919360,1.58302
53701349376,1.73903
62580699136,1.88812
72929189888,2.03808
84603469824,2.23875
98146533376,2.45917
1.13347E+11,2.68554
1.26841E+11,2.89837
1.36923E+11,3.05551
1.56016E+11,3.24068
1.79381E+11,3.43718
2.06253E+11,3.58236
2.32906E+11,3.79932
2.58301E+11,4.05272
2.90391E+11,4.15026
3.26477E+11,4.20084
3.63778E+11,4.12965
4.01688E+11,4.13121
4.96523E+11,3.83256
