Object name,log(M) [Msun],err [Msun],log(M_BH) [Msun],log(M_BH_high),log(M_BH_low)
M31,10.35,_ 0.09,1.43E+08,1.12E+08,2.34E+08
M81,10.42,_ 0.09,6.50E+07,5.00E+07,9.00E+07
NGC524,11.26,_ 0.09,8.67E+08,8.21E+08,9.61E+08
NGC821,10.98,_ 0.09,1.65E+08,9.20E+07,2.39E+08
NGC1023,10.53,_ 0.09,4.13E+07,3.71E+07,4.56E+07
NGC1194,10.64,_ 0.09,7.08E+07,6.76E+07,7.41E+07
NGC1277,11,_ 0.09,1.70E+10,1.40E+10,2.00E+10
NGC2549,9.71,_ 0.09,1.45E+07,3.10E+06,1.65E+07
NGC3115,10.92,_ 0.09,8.97E+08,6.20E+08,9.54E+08
NGC3245,10.69,_ 0.09,2.39E+08,1.63E+08,2.66E+08
NGC3585,11.26,_ 0.09,3.29E+08,2.71E+08,4.74E+08
NGC3998,10.67,_ 0.09,8.45E+08,7.79E+08,9.15E+08
NGC4026,10.33,_ 0.09,1.80E+08,1.45E+08,2.40E+08
NGC4258,9.86,_ 0.09,3.78E+07,3.74E+07,3.82E+07
NGC4342,10.31,_ 0.09,4.53E+08,3.05E+08,7.18E+08
NGC4526,11.02,_ 0.09,4.51E+08,3.48E+08,5.91E+08
NGC4564,10.38,_ 0.09,8.81E+07,6.38E+08,1.13E+08
NGC4594,11.47,_ 0.09,6.65E+08,6.24E+08,7.05E+08
NGC7457,9.56,_ 0.09,9.00E+06,3.60E+06,1.43E+07
