M_BH,M_gal,M_disk
6.25,10.62,10.46
9.44,12.38,11.04
7.26,11.03,10.99
6.49,10.66,10.61
6.51,10.97,10.93
6.60,10.78,10.71
6.63,10.66,10.57
8.15,10.88,10.81
7.00,10.71,10.66
6.75,10.78,10.62
8.38,11.40,11.27
7.71,10.30,10.24
6.78,10.58,10.30
8.03,11.25,11.14
6.97,10.77,10.69
7.54,10.09,10.09
7.06,10.86,10.65
8.23,10.73,10.56
7.83,10.65,10.47
6.38,10.68,10.60
7.88,10.80,10.72
6.89,10.69,10.63
7.49,11.00,10.92
6.95,10.78,10.73
7.68,10.62,10.36
7.60,10.72,10.62
6.58,10.48,10.44
6.90,10.44,10.20
5.64,9.45,9.45
7.13,10.67,10.53
8.34,11.03,10.63
8.34,11.29,10.79
6.78,10.37,10.19
6.07,10.41,10.35
6.15,10.52,10.48
8.94,10.81,10.52
7.04,11.31,11.23
7.72,11.11,11.07
7.51,11.06,11.02
7.02,11.04,11.01
7.74,11.31,11.31
7.67,10.77,10.65
7.06,10.74,10.60
7.41,11.26,11.20
