M,R
3147761664,5.12177
3925156352,5.30868
5143530496,5.3765
6271342080,5.41204
7820469760,5.51221
9620932608,5.71308
11782848512,5.88671
14826427392,5.99588
18076672000,6.14207
23901184000,6.33059
29537003520,6.52322
34893467648,6.72056
41969356800,7.0466
49134936064,7.302
56495652864,7.6104
63226347520,7.93102
72045830144,8.26571
83212853248,8.61497
95243452416,9.19067
1.08522E+11,9.86203
1.24215E+11,10.399
1.37753E+11,11.2885
1.54849E+11,12.1833
1.75649E+11,12.9214
1.9479E+11,14.1087
2.18961E+11,15.3162
2.42836E+11,16.3377
2.66888E+11,17.7345
2.91995E+11,19.4762
3.23816E+11,21.2658
3.67273E+11,23.6317
4.09132E+11,25.9544
4.57863E+11,27.3653
4.94249E+11,29.0177
4.94249E+11,29.0177
