SDSS,z,logMbh [Msun],Msph [Msun]
J002228.36-005830.6,0.106,5.7,1.77E+09
J002452.53-103819.6,0.103,6.2,5.31E+09
J011749.81-100114.5,0.141,5.8,1.22E+10
J012055.92-084945.4,0.125,6.3,5.93E+09
J015804.75-005221.8,0.0804,5.9,8.35E+09
J022849.51-090153.7,0.0722,5.4,7.26E+08
J023310.79-074813.3,0.031,6,8.06E+09
J024009.10+010334.5,0.196,5.8,5.80E+09
J030417.78+002827.3,0.0444,6.1,5.34E+09
J032515.59+003408.4,0.102,6,2.24E+09
J032707.32-075639.3,0.154,5.7,7.29E+09
J034745.41+005737.2,0.179,7.6,
J073106.86+392644.6,0.0483,6.1,1.67E+09
J073505.65+423545.6,0.0858,6.2,8.20E+09
J074423.44+243046.3,0.117,6.2,3.30E+09
J074810.36+454003.1,0.143,6.3,5.92E+09
J074825.27+405217.8,0.136,5.7,1.10E+10
J074831.91+464455.4,0.083,6.3,4.75E+09
J074836.80+182154.2,0.0712,6.1,2.61E+09
J075038.12+315737.0,0.0552,6.3,2.56E+09
J080223.56+484637.0,0.0587,5.8,8.94E+09
J080352.98+263123.3,0.0463,6.2,7.09E+08
J080629.80+241955.6,0.0416,6,1.50E+09
J080907.58+441641.4,0.0541,5.9,2.83E+09
J081550.23+250640.9,0.0726,5.6,5.95E+08
J081825.15+472950.3,0.0537,6,1.12E+09
J082036.81+470706.4,0.0545,6.3,7.20E+09
J082106.95+404836.5,0.124,6.1,1.15E+10
J082325.91+065106.4,0.0724,5.7,1.12E+09
J082347.95+060636.2,0.104,6.1,6.73E+09
J082355.36+244830.4,0.234,6.2,1.83E+10
J082422.21+072550.4,0.0815,5.9,9.94E+09
J082443.28+295923.5,0.0254,5.3,1.24E+10
J082737.40+272917.2,0.154,5.7,9.69E+08
J083019.66+084725.1,0.0771,6.2,1.94E+09
J083211.57+502408.4,0.172,5.9,5.19E+09
J083346.04+062026.6,0.11,5.4,3.36E+09
J083803.67+540642.2,0.0295,6.2,4.17E+09
J083928.45+082102.3,0.13,5.8,7.45E+09
J084011.27+075915.7,0.132,6,3.80E+09
J084013.23+412357.0,0.029,6.2,1.45E+08
J084303.59+361011.1,0.0869,5.7,5.22E+09
J084739.61+360444.4,0.0865,6,4.21E+09
J084822.19+373551.5,0.182,6.2,6.02E+09
J085432.19+080800.0,0.237,6.2,5.01E+09
J090031.76+432709.0,0.061,6.2,6.83E+09
J090320.97+045738.0,0.0567,5.9,1.43E+09
J090337.81+463952.0,0.039,6.2,4.18E+09
J090431.21+075330.8,0.0833,5.9,1.19E+09
J090731.05+445428.5,0.115,6.2,2.63E+09
J091032.80+040832.4,0.0732,5.1,1.81E+09
J091102.33+550022.9,0.0443,6.3,3.59E+09
J091449.05+085321.1,0.14,6,4.21E+09
J091624.82+383433.5,0.212,6.2,4.82E+09
J091853.56+363739.6,0.188,5.8,1.06E+10
J092438.88+560746.9,0.0249,6.1,3.05E+10
J092547.32+050231.6,0.126,5.7,2.61E+09
J092700.53+084329.4,0.112,6.3,
J093147.25+063503.2,0.0854,6.3,1.03E+09
J093308.88+534748.9,0.0569,6,2.68E+09
J093829.38+034826.6,0.119,5.8,2.59E+09
J094057.19+032401.2,0.0606,6,4.68E+09
J094240.92+480017.3,0.197,6.2,5.60E+09
J094258.55+083810.1,0.134,6.3,9.28E+09
J095306.81+365028.0,0.049,6,6.85E+08
J095330.53+562653.4,0.0662,6.3,3.67E+09
J095438.78+403204.2,0.0672,6.3,2.45E+09
J100617.51+365703.1,0.109,6.1,8.10E+09
J102124.87+012720.3,0.067,6.1,5.26E+09
J102212.60+383742.7,0.056,5.4,3.96E+08
J102703.90+485023.9,0.148,6.3,
J102957.76+431430.8,0.085,6,9.07E+09
J103344.04+635317.2,0.347,6.1,4.35E+10
J104330.05+512128.9,0.0815,6.1,8.13E+09
J104842.45+413302.3,0.0629,6,5.31E+08
J105108.81+605957.2,0.0824,6.2,1.67E+09
J105131.91+504223.1,0.132,6.2,1.10E+10
J105424.29+454130.5,0.0639,5.4,4.14E+08
J105755.66+482502.0,0.0732,5.7,4.87E+09
J110258.73+463811.4,0.149,6.1,1.26E+10
J110501.97+594103.6,0.0337,6.9,5.77E+09
J111443.65+525834.2,0.0793,6.2,1.65E+09
J111547.46+502405.6,0.0473,6.1,6.35E+09
J111644.65+402635.5,0.202,5.8,3.26E+09
J112202.23+534253.5,0.089,6.1,9.12E+08
J112309.16+433134.8,0.079,6.1,2.29E+09
J112333.56+671109.9,0.055,5.3,2.36E+09
J112637.74+513423.0,0.0264,6.1,2.71E+09
J112713.22+462530.5,0.106,6.3,6.12E+09
J112718.75+585025.0,0.0879,6.1,6.23E+09
J113545.55+644005.2,0.113,6.1,1.60E+09
J113638.38+424552.9,0.071,6,1.53E+10
J113657.68+411318.5,0.0715,6.3,3.08E+09
J114713.49+473258.1,0.0736,6.2,3.98E+09
