M_BH,M_bulge,M_gal
9.59,11.70,11.70
9.04,11.47,11.49
8.34,10.43,10.76
4.85,7.96,9.12
8.92,10.57,11.07
7.81,10.71,10.94
8.90,11.84,11.88
8.76,10.22,10.52
9.65,11.46,11.52
9.57,11.13,11.13
10.23,11.82,11.82
7.60,9.13,9.99
8.76,11.03,11.28
9.45,11.40,11.40
8.26,10.11,10.36
7.63,9.67,10.17
8.65,9.94,10.26
8.86,10.28,10.55
6.84,9.89,10.60
8.18,10.46,10.90
7.84,9.91,10.18
8.76,9.46,9.46
8.67,10.70,11.04
8.67,10.88,10.95
7.28,9.77,10.23
9.67,11.44,11.44
7.15,9.87,10.15
9.15,10.49,10.72
7.36,9.97,11.06
8.02,10.98,11.35
9.00,10.85,11.38
9.67,11.49,11.49
9.86,11.44,11.44
9.52,11.44,11.44
8.83,10.86,11.23
8.41,10.12,10.32
9.57,11.52,11.52
9.30,10.94,11.02
8.57,11.46,11.46
7.11,10.22,10.84
7.00,9.40,10.19
