Galaxy , Type ,M_BH [$10^8$ M$_\odot$],M_sph [$10^{10}$ M$_\odot$]
Abel1836 , BCG ,39,69
Abel3565 , BCG ,11,37
CenA$^{\dagger}$ , S0 ,0.45,1.4
CygnusA$^{\dagger}$ , S? ,25,55
IC1459 , E3 ,24,27
IC2560 , SBb ,0.044,2.4
M31$^{\dagger}$ , Sb ,1.4,0.46
M81$^{\dagger}$ , Sab ,0.73,1
M84 , E1 ,9,19
M87$^{\dagger}$ , E0 ,58,23
NGC253$^{\dagger}$ , SBc ,0.1,0.61
NGC524 , S0 ,8.3,4.6
NGC821 , E ,0.39,11
NGC1023 , SB0 ,0.42,1.9
NGC1068 , SBb ,0.084,4.5
NGC1194 , S0 ,0.66,1.4
NGC1300 , SBbc ,0.73,0.66
NGC1332 , S0 ,15,4.7
NGC1399 , E ,4.7,26
NGC2273 , SBa ,0.083,2
NGC2549 , SB0 ,0.14,0.39
NGC2778 , SB0 ,0.15,0.35
NGC2787 , SB0 ,0.4,0.3
NGC2960 , Sa? ,0.12,3.5
NGC2974 , E ,1.7,6.7
NGC3079 , SBc ,0.024,0.88
NGC3115 , S0 ,8.8,1.9
NGC3227 , SBa ,0.14,0.93
NGC3245 , S0 ,2,1.24
NGC3368 , SBab ,0.073,0.86
NGC3377 , E5 ,0.77,2
NGC3379 , E1 ,4,5.4
NGC3384 , SB0 ,0.17,1.2
NGC3393 , SBa ,0.34,4.9
NGC3414 , S0 ,2.4,2
NGC3489 , SB0 ,0.058,0.66
NGC3585 , S0 ,3.1,5.1
NGC3607 , S0 ,1.3,2.6
NGC3608 , E2 ,2,3.2
NGC3842 , E ,97,100
NGC3998 , S0 ,8.1,1.4
NGC4026 , S0 ,1.8,0.88
NGC4151 , SBab ,0.65,1.3
NGC4258 , SBbc ,0.39,0.56
NGC4261 , E2 ,5,29
NGC4291 , E2 ,3.3,6.1
NGC4342 , S0 ,4.5,0.65
NGC4388 , Sb ,0.075,3.3
NGC4459 , S0 ,0.68,2
NGC4473 , E5 ,1.2,6.9
NGC4486a , E2 ,0.13,1.4
NGC4552 , E ,4.7,7.7
NGC4564 , S0 ,0.59,0.9
NGC4594 , Sa ,6.4,3.9
NGC4596 , SB0 ,0.79,1.8
NGC4621 , E ,3.9,8.4
NGC4649 , E1 ,47,27
NGC4697 , E4 ,1.8,6
NGC4736 , Sab ,0.06,0.43
NGC4826 , Sab ,0.016,1
NGC4889 , cD ,210,122
NGC4945$^{\dagger}$ , SBcd ,0.014,0.3
NGC5077 , E3 ,7.4,29
NGC5576 , E3 ,1.6,11
NGC5813 , E ,6.8,20
NGC5845 , E3 ,2.6,2.8
NGC5846 , E ,11,24
NGC6086 , E ,37,78
NGC6251 , E2 ,5.9,96
NGC6264 , S? ,0.31,3.6
NGC6323 , Sab ,0.1,2.6
NGC7052 , E ,3.7,55
NGC7582 , SBab ,0.55,1.4
NGC7768$^{\dagger}$ , E ,13,64
UGC3789 , SBab ,0.11,1.2
